img x1 y1 x2 y2
201963 15 25 487 472
133570 25 18 473 485
266962 21 14 565 406
141409 5 7 416 572
244699 4 3 492 370
201944 17 18 475 477
245158 12 5 441 328
133542 18 27 481 479
141458 10 14 487 477
201975 21 22 481 479
133485 14 62 487 460
202004 7 39 484 487
201898 3 33 492 489
141457 1 1 604 406
141510 18 25 481 479
141506 7 7 565 423
201907 12 10 558 419
201860 23 22 490 477
141422 12 33 386 588
244217 7 39 571 420
201999 4 0 487 483
244379 52 39 507 403
141505 2 4 332 235
133417 14 18 487 487
201903 9 18 487 491
244372 18 10 557 418
141493 18 7 555 425
201980 6 8 489 489
133573 12 18 476 491
141455 7 16 606 387
201939 10 8 570 427
141470 2 6 294 291
202012 17 27 482 462
141484 13 18 318 260
245680 21 13 587 399
202026 23 30 555 409
141474 5 5 571 424
133416 9 16 489 483
133456 12 7 560 423
141415 4 6 337 227
201864 4 64 489 483
201859 21 41 468 477
202028 4 12 482 365
133571 9 13 579 386
133515 21 68 478 416
141498 21 16 549 418
201919 5 2 423 564
141408 17 33 481 483
141461 41 41 558 404
246481 3 10 569 420
202013 15 31 443 495
141413 18 48 411 524
141467 4 15 288 296
133501 20 27 473 468
141491 7 25 569 429
141512 12 10 490 459
244094 8 5 561 431
201967 4 16 482 495
201987 9 6 490 365
133587 20 20 476 477
201955 10 9 549 428
244083 16 7 567 413
141497 3 16 566 423
244061 3 8 590 398
133566 7 10 481 489
244249 32 66 410 335
201899 10 20 482 487
202017 4 6 492 487
141507 16 19 451 484
201983 6 8 495 495
266949 5 6 292 291
201959 15 16 482 481
133497 18 16 481 475
201961 4 8 485 489
133457 17 14 479 479
133522 4 16 487 493
244291 10 6 495 370
267015 5 5 566 428
141489 214 37 569 363
266952 1 8 495 328
202008 23 30 564 420
201909 3 9 562 425
141424 3 10 478 470
246525 10 5 479 335
267006 6 2 296 299
202001 20 37 489 475
133489 9 10 484 489
141495 9 15 575 390
201884 7 47 485 487
133595 6 20 495 489
141472 15 14 530 441
133482 15 12 489 485
141411 21 12 426 560
141460 24 6 572 402
141417 23 39 467 472
201856 9 18 487 439
266960 4 35 297 277
202002 18 25 495 460
141473 19 23 569 410
201977 17 76 496 371
201911 1 6 498 491
201854 6 25 485 485
267041 1 4 495 495
133545 65 4 443 493
