img x1 y1 x2 y2
23678 15 39 485 400
189074 50 79 435 379
24613 101 161 360 341
23951 15 77 490 464
25810 8 122 426 552
189113 87 152 337 416
24426 7 22 493 481
189051 6 33 481 477
24603 20 43 476 433
25973 9 7 566 427
188779 21 23 551 422
188462 6 12 317 390
189195 45 27 530 402
23591 2 105 405 495
23457 29 131 473 458
23550 29 75 448 427
188397 12 45 496 447
22650 27 25 522 398
25985 0 150 282 510
25195 14 97 371 532
22557 10 68 396 544
188357 6 56 487 489
22931 35 97 479 429
24403 9 18 495 422
24945 37 27 542 384
25700 37 14 499 400
23480 9 62 430 486
24631 9 153 422 560
23478 7 39 482 483
188907 16 117 427 488
188534 7 56 490 483
188707 42 37 478 464
188947 63 61 517 375
188723 3 33 490 420
25046 53 139 293 466
188790 42 110 413 431
188825 26 37 465 470
24821 35 23 492 368
188986 9 50 413 460
25990 33 16 553 370
188352 17 22 493 487
25164 16 144 430 531
188705 8 170 373 555
189027 4 42 290 340
25666 45 110 464 443
25769 6 28 237 285
188813 56 50 440 445
23216 95 16 533 317
189193 32 25 522 405
188256 48 46 435 420
24040 45 47 459 354
25974 13 43 390 318
188934 15 12 472 470
188786 68 77 526 389
24156 7 22 489 462
188236 4 6 492 487
188234 26 22 579 404
24482 10 86 423 437
188973 12 48 427 459
188514 79 18 515 407
23629 115 70 494 378
24565 21 28 567 414
188491 37 54 481 412
23753 22 149 421 464
23087 72 68 457 365
188423 3 33 493 447
188252 18 157 380 393
22546 2 68 405 492
188956 16 14 563 426
23211 16 52 416 418
188593 27 41 537 404
188681 13 38 426 480
188900 5 10 557 357
189057 7 39 573 386
26000 61 61 468 450
24555 97 168 358 425
188525 9 11 606 401
188857 21 32 573 398
24667 5 141 428 533
188851 31 37 482 477
25118 3 66 362 593
188961 36 32 570 412
188859 12 10 564 425
22721 34 19 506 402
188796 37 37 489 408
188943 18 47 487 389
188537 30 19 474 341
25741 61 57 556 387
188555 7 20 362 495
25122 70 55 537 387
25979 10 30 397 370
24015 12 22 492 483
188569 95 23 567 411
23188 4 185 427 563
188731 6 79 459 468
188941 12 6 496 367
188962 15 43 485 323
23783 35 89 453 408
188412 41 16 560 413
25099 23 66 479 477
22594 55 14 560 411
188688 45 106 485 427
23410 9 67 429 512
25888 9 29 490 493
23102 17 183 390 498
188784 36 151 430 476
24554 1 31 485 443
23923 30 45 574 363
188843 30 9 571 416
188552 23 47 473 402
23522 9 52 427 521
188886 6 108 306 486
23824 17 35 492 375
25433 13 86 413 488
23663 12 10 495 487
189154 53 6 479 312
