img x1 y1 x2 y2
13932 15 17 478 355
17064 2 1 397 296
93626 7 5 567 427
11335 9 79 558 400
11267 89 93 602 363
13304 26 1 634 346
14902 7 35 492 445
16357 0 0 420 545
14218 9 12 496 468
17062 3 141 266 376
13230 36 100 568 428
13950 1 88 429 526
15265 21 145 487 489
15658 6 37 492 350
12461 32 27 479 477
11005 57 37 558 423
15786 0 108 430 569
11182 60 73 612 370
93381 10 109 414 498
93471 3 3 567 422
17052 3 67 436 316
11044 221 161 590 357
17048 12 19 543 404
93387 6 19 473 317
11602 0 7 546 425
14286 55 32 567 419
16398 7 9 571 423
14088 203 52 496 385
13715 3 4 493 422
14493 3 70 496 458
16596 43 31 465 479
16135 18 27 476 475
17055 85 42 552 250
14531 4 6 495 493
13611 79 2 410 281
15491 7 22 489 481
16417 16 45 555 420
13474 18 35 478 479
12551 1 43 496 475
17032 5 3 551 427
15376 0 3 596 395
93630 24 20 582 370
13573 9 2 592 314
16111 15 16 489 485
14573 111 95 568 351
14875 28 127 423 561
16168 3 168 454 497
14117 1 191 471 495
11164 36 97 546 411
12044 3 28 567 427
93415 16 3 306 247
11055 21 43 580 373
14739 7 6 484 493
16977 0 139 405 574
11103 7 56 489 483
93498 5 9 440 331
14435 3 158 496 491
17047 4 10 495 371
93390 15 4 515 340
13750 3 0 493 487
16867 2 43 430 564
12830 18 35 489 460
93574 5 52 570 400
93591 19 15 442 299
13983 9 79 495 491
16638 4 4 424 543
17082 5 8 556 416
14863 15 25 482 475
15185 26 27 479 483
14673 3 72 492 479
15474 2 4 426 562
16727 14 122 493 483
14606 4 4 496 493
12023 18 28 553 413
93475 9 36 499 386
11330 24 10 600 386
14948 2 12 427 561
13517 10 14 479 483
16741 14 10 553 418
16183 17 20 487 481
16066 15 31 481 483
12853 0 0 426 575
15871 3 25 496 491
15996 209 84 569 416
16844 5 26 346 460
15583 12 43 485 462
13810 3 4 496 489
93401 7 7 548 414
11763 5 5 573 409
93563 3 46 495 357
11886 5 9 421 543
13490 10 144 444 430
11615 1 3 573 423
13309 10 180 411 496
16525 6 28 423 552
13440 0 10 596 396
15800 21 58 489 456
11222 20 37 414 532
13729 21 25 482 477
11325 1 39 555 423
16004 46 31 495 491
16876 78 74 238 351
