img x1 y1 x2 y2
189327 21 8 571 406
16491 10 3 396 296
13553 9 21 569 422
189285 37 45 567 426
189694 7 16 493 479
189315 12 12 487 487
189141 7 12 339 276
189751 1 12 351 383
189690 32 22 476 464
189920 3 4 496 495
189677 9 18 484 485
189737 4 4 493 483
189320 10 19 539 418
189614 19 14 459 464
15476 23 41 485 472
189962 3 2 496 493
16476 36 23 451 316
190165 84 93 564 418
188977 27 43 531 425
15512 1 92 379 619
189917 35 75 467 408
15236 14 12 496 479
16284 7 29 490 483
189178 150 68 475 314
189950 1 34 524 425
15569 3 43 495 497
14470 12 43 485 475
14647 9 22 495 491
15630 15 14 487 400
16348 97 32 573 429
15458 15 20 481 481
13588 3 7 570 412
189799 1 4 496 495
16464 14 8 433 288
15666 39 10 555 419
16334 23 54 485 470
15960 3 4 596 286
14116 3 1 570 426
189972 13 16 465 458
14527 3 6 495 491
189829 1 3 570 428
189624 6 10 492 450
189657 6 6 469 454
190075 16 21 423 548
15511 4 4 492 487
189181 19 5 604 404
190003 12 40 469 454
15708 16 25 573 409
14979 5 5 545 338
189684 88 86 494 427
189106 23 125 370 497
190008 6 12 469 470
188983 17 13 339 242
189629 19 22 454 450
15539 7 16 479 485
189723 1 4 496 495
14128 29 118 429 457
14214 21 108 473 468
189659 3 6 495 479
13918 18 7 571 411
189932 37 77 484 470
189347 19 101 544 409
189904 26 36 479 362
15908 51 29 475 456
14787 34 27 569 423
189797 12 12 482 479
189686 3 3 573 429
190174 158 97 485 359
189556 1 60 496 472
14742 4 7 429 568
189744 23 56 484 470
189545 5 12 574 423
15276 12 77 364 582
15375 9 21 423 499
189368 36 16 559 424
189289 14 16 562 418
189238 20 37 475 475
16144 10 28 423 558
189442 42 4 495 367
189605 60 37 487 353
189145 14 75 540 418
189700 34 57 534 388
189914 82 106 378 328
190152 12 158 415 567
15318 21 47 478 483
189969 18 10 571 427
189407 3 2 496 491
189993 7 57 479 425
15845 4 3 356 287
16055 26 41 489 445
189644 6 20 487 487
189856 12 20 476 487
189143 6 13 321 279
189234 3 4 496 495
14652 4 4 495 485
14899 10 12 490 477
16353 4 41 490 475
189771 0 0 573 429
189261 4 47 485 447
14777 18 18 484 493
189152 4 24 429 564
190085 25 12 562 413
13653 5 1 571 407
14156 7 33 498 414
190222 15 52 353 422
13895 10 79 478 429
189268 84 81 527 424
16441 84 88 461 378
13928 39 186 347 523
190192 1 5 571 427
190021 21 22 487 462
189516 3 14 570 414
15481 3 64 384 623
15300 3 97 457 477
189194 14 7 575 427
