img x1 y1 x2 y2
184465 10 18 544 416
73031 13 2 404 317
9181 8 28 413 565
74246 16 14 571 347
72237 4 11 452 291
9221 1 10 493 491
74067 223 4 487 485
72175 32 41 415 316
73315 9 29 493 485
9839 13 11 586 387
184559 33 242 416 560
72298 21 73 555 429
72636 32 7 537 409
9845 5 8 391 383
9791 8 14 380 258
184233 194 12 533 400
9267 2 9 426 567
184288 6 12 423 560
184335 10 25 479 420
9212 68 169 295 393
184375 4 14 420 562
184569 10 38 419 526
72294 3 7 567 416
72578 12 1 564 422
184621 12 12 563 421
9706 4 12 418 568
9720 11 24 399 286
73697 6 16 456 489
72633 5 3 573 422
72643 7 7 485 365
73323 23 41 476 477
184294 162 36 571 407
184346 1 105 420 562
73262 151 18 476 412
71833 16 16 584 352
72058 57 176 570 403
184629 1 3 237 373
184523 3 4 490 489
72413 21 43 482 339
184411 209 127 478 400
72550 149 16 593 369
184543 1 72 332 487
72289 13 10 596 394
184314 16 23 569 418
184310 10 18 558 404
74227 10 129 370 493
184440 7 6 605 401
184418 225 57 496 267
9750 41 45 555 400
73652 10 12 409 556
71924 7 5 564 425
184635 14 154 411 558
74254 10 10 546 397
184302 20 22 478 481
9846 48 21 593 397
9843 16 20 496 369
184404 6 56 496 485
73272 6 48 415 534
9465 3 66 567 400
72306 14 41 498 314
73140 52 34 555 407
74022 15 14 479 489
184432 2 12 370 475
184452 78 74 518 392
72471 10 14 564 402
184436 10 12 485 475
71920 6 14 400 479
184426 4 4 484 489
73519 12 72 558 339
9279 133 171 423 420
184342 32 5 285 246
184306 5 7 573 425
74162 3 58 485 445
184445 40 52 437 464
184573 5 9 567 421
184381 9 10 484 491
74210 103 32 500 311
184337 1 158 424 572
73541 26 27 465 470
9792 29 43 446 328
184353 7 20 485 485
95057 31 26 413 331
9514 274 97 564 421
71865 14 3 558 418
72353 12 10 548 414
184565 18 118 366 495
9723 200 68 495 470
184546 131 72 357 432
72536 12 30 560 425
72071 37 4 476 343
9747 62 93 428 425
184362 7 7 566 413
73083 5 26 427 555
184234 76 122 325 462
72196 65 32 521 378
73460 6 2 492 481
74195 42 77 446 341
71997 9 6 484 483
184358 17 18 478 479
184296 5 3 476 407
72915 4 8 489 481
9241 4 6 481 485
72137 45 40 539 294
73644 32 120 443 481
